"input_file","output_file","status","text_score","text_ge_08","loop_reached_threshold","strict_quality_gate_pass","error"
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\reservoirdogs_p.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__reservoirdogs_p__sweep.json","ok","0.56","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\robert_of_st_albans.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__robert_of_st_albans__sweep.json","ok","0.62","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\russia_to_austria_grudger.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__russia_to_austria_grudger__sweep.json","ok","0.82","True","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W06\russia_to_austria_grudger_p.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W06__russia_to_austria_grudger_p__sweep.json","ok","0.82","True","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\first_and_last_men_flagship_v10_textgate.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__first_and_last_men_flagship_v10_textgate__sweep.json","ok","0.36","False","False","True",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\first_and_last_men_flagship_v2.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__first_and_last_men_flagship_v2__sweep.json","ok","0.36","False","False","False",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\first_and_last_men_flagship_v3.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__first_and_last_men_flagship_v3__sweep.json","ok","0.37","False","False","True",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\first_and_last_men_flagship_v4.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__first_and_last_men_flagship_v4__sweep.json","ok","0.3","False","False","True",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\first_and_last_men_flagship_v5.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__first_and_last_men_flagship_v5__sweep.json","ok","0.33","False","False","True",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\first_and_last_men_flagship_v6.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__first_and_last_men_flagship_v6__sweep.json","ok","0.22","False","False","True",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\first_and_last_men_flagship_v7_artistry.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__first_and_last_men_flagship_v7_artistry__sweep.json","ok","0.32","False","False","True",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\first_and_last_men_flagship_v8_artistryplus.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__first_and_last_men_flagship_v8_artistryplus__sweep.json","ok","0.31","False","False","True",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\first_and_last_men_flagship_v9_textgate.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__first_and_last_men_flagship_v9_textgate__sweep.json","ok","0.26","False","False","True",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\gone_with_the_flux_capacitor_v0.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__gone_with_the_flux_capacitor_v0__sweep.json","ok","0.42","False","False","True",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\gone_with_the_flux_capacitor_v1.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__gone_with_the_flux_capacitor_v1__sweep.json","ok","0.41","False","False","True",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\gone_with_the_flux_capacitor_v2_artistry.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__gone_with_the_flux_capacitor_v2_artistry__sweep.json","ok","0.43","False","False","True",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\gone_with_the_flux_capacitor_v3_artistryplus.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__gone_with_the_flux_capacitor_v3_artistryplus__sweep.json","ok","0.53","False","False","True",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\gone_with_the_flux_capacitor_v4_textgate.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__gone_with_the_flux_capacitor_v4_textgate__sweep.json","ok","0.35","False","False","True",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\gone_with_the_flux_capacitor_v5_textgate.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__gone_with_the_flux_capacitor_v5_textgate__sweep.json","ok","0.35","False","False","True",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\gone_with_the_flux_capacitor_v6_textgate.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__gone_with_the_flux_capacitor_v6_textgate__sweep.json","ok","0.32","False","False","True",""
"C:\projects\GPTStoryworld\storyworlds\by-week\2026-W07\gone_with_the_flux_capacitor_v6_textloop_dry.json","C:\projects\GPTStoryworld\storyworlds\sweeps\2026-02-11_sweep_v1\final\2026-W07__gone_with_the_flux_capacitor_v6_textloop_dry__sweep.json","ok","0.37","False","False","True",""
